Post Caption,Sentiment Polarity,Hashtags? (Y/N),Mentions? (Y/N),Hashtags List,Mentions List,Time of Day of Post,Day of Week,Date of Post,Video? (Y/N),Dimensions,Likes,Comments,Engagement Rate (%)
"Let the power of our wash give your ride a show car shine, Ka-chow! 🚗✨

Our revolutionary 3-step process and triple foam wash will help protect your car from top to bottom, leaving you with a beautiful finish that reflects light. 

Comment a 🫧 to find a location near you.",0.4625,N,N,,,09:01:16,Monday,2023-08-14,N,1080x1350,115,6,12100.0
"Help us wash out cancer this October. This #BreastCancerAwarenessMonth, Quick Quack is going pink! We are raising funds for the National Breast Cancer Foundation (@nbcf), donate today at any Quick Quack location! #QQCares #breastcancerawareness",0.20833333333333334,Y,N,"BreastCancerAwarenessMonth,, QQCares, breastcancerawareness",,09:06:49,Tuesday,2020-10-06,N,1080x1080,70,1,7100.0
"Have you heard about our writing contest? There's a $1,000 Grand Prize!

http://ow.ly/PLfB304VtKG",0.625,N,N,,,18:55:22,Thursday,2016-10-06,N,1000x1092,5,0,500.0
We love cleaning cars! #dontdrivedirty #quickquack,0.625,Y,N,"dontdrivedirty, quickquack",,13:30:26,Sunday,2014-09-07,N,640x640,4,1,500.0
"Happy Simplicity Day! We hope we help keep your day simple! 
#SimplicityDay #DontDriveDirty #QuickQuack #quickquackcarwash",0.5,Y,N,"SimplicityDay, DontDriveDirty, QuickQuack, quickquackcarwash",,11:59:00,Thursday,2018-07-12,N,640x760,17,0,1700.0
First wash in 15 years! Not bad for a basic...#dontdrivedirty #wemeanit #quickquack,0.33124999999999993,Y,N,"wemeanit, quickquack",,18:39:14,Wednesday,2015-07-29,N,1080x1080,6,0,600.0
"Happy Halloween 👻🎃
All of our Quick Quack Car Wash locations will be closing at 6pm today. Fear not, we will be back to our regular hours tomorrow. Have a great time trick or treating and celebrating!",0.42666666666666664,N,N,,,08:51:06,Thursday,2019-10-31,N,1080x1074,26,1,2700.0
"** Giveaway Closed - Our winner is @brennerzeller a big thank you to everyone who participated! ***

______________________________________

On the third day of giveaways, Quick Quack Car Wash gave to me… 🎶🎁

A chance to stay dry and fly all season long with this quack-tastic bundle!

One lucky winner will get a chance to win:

💨 1 Lightweight Windbreaker Jacket

🎒 1 Quackals Drawstring Bag

🚗 30-Day Free Ceramic Duck Wash

 🎁 Plus some extra surprise-and-delight goodies 

To enter:

1. Follow @quickquack quack on Instagram.

2. Like and save this post.

3. Tag one friend in the comments. 

Bonus: Reshare this post to your Instagram Story and tag us for an extra entry! 

One winner will be randomly selected on Thursday, 12/5, and announced on this post. Must be 18+ to enter. U.S. residents only. This giveaway is not sponsored, endorsed or administered by, or associated with Instagram. For more information, visit the link in our bio.⁣⁣

#QuickQuack #QuickQuackCarWash #12DaysofQQ",0.1625,Y,Y,"QuickQuack, QuickQuackCarWash, 12DaysofQQ","brennerzeller, quickquack",08:30:00,Tuesday,2024-12-03,Y,1080x1920,3,716,71900.0
"No judgment, but how often do you wash your car? 

A) The Lucky Duck who washes their car 2-3 times a week.

B) The Lucky Duck who washes their car once a month.

C) The Lucky Duck who needs to head over to link in the bio, click on “Quick Quack near you” and wash your car

.
.
.
#dontdrivedirty
#quickquackcarwash
#carwash
#drivethrcarwash
#carwashes
#Unlimitedcarwash
#washcar
#texascarwash
#arizonacarwash
#coloradocarwash
#utahcarwash
#californiacarwash",0.2866666666666667,Y,N,"dontdrivedirty, quickquackcarwash, carwash, drivethrcarwash, carwashes, Unlimitedcarwash, washcar, texascarwash, arizonacarwash, coloradocarwash, utahcarwash, californiacarwash",,15:06:19,Monday,2023-04-03,N,1349x1685,124,21,14500.0
"Happy Thanksgiving! Quackals wanted to let everyone know that squash is a GREAT alternative to bird.

#DontDriveDirty",0.9,Y,N,DontDriveDirty,,08:49:40,Thursday,2016-11-24,N,1080x1080,4,0,400.0
"Becoming a Leader is something we talk about quite often here at Quick Quack. It's one of our company values, so we're in full support of building Leaders for the future. Check out this awesome infographic on how to teach your kids to become Leaders. 
http://www.dailyinfographic.com/entrepreneur-children",0.42666666666666664,N,N,,,20:43:04,Thursday,2018-08-02,N,640x448,17,1,1800.0
Winter hours have begun!! Come visit us Monday-Saturday from 7 am-7pm and Sundays from 9 am-7pm. #dontdrivedirty #quickquack,0.0,Y,N,"dontdrivedirty, quickquack",,09:34:56,Sunday,2013-11-10,N,640x640,8,1,900.0
Happy National Teddy Bear Picnic Day!,1.0,N,N,,,11:44:24,Sunday,2016-07-10,N,1080x1080,3,0,300.0
Who doesn't love FREE Vacuums!? #quickquack #dontdrivedirty #dontforgettheinside #freeisalwaysbetter,0.5,Y,N,"quickquack, dontdrivedirty, dontforgettheinside, freeisalwaysbetter",,10:34:17,Friday,2013-08-16,N,612x612,5,0,500.0
"16 YEARS! 🎉 It's been quite a year, but we're happy to celebrate Quick Quack's 16th birthday... another year of keeping cars clean and changing lives for the better in our communities. We now have over 100 locations across California, Utah, Texas, Arizona and Colorado. We'd like to say a big THANK YOU to our customers for their ongoing support, and to our smart, kind and driven team members who work hard to make sure you don't drive dirty. #happybirthday #dontdrivedirty #quickquack",0.2422619047619048,Y,N,"happybirthday, dontdrivedirty, quickquack",,07:30:13,Wednesday,2020-11-18,N,1080x1080,177,23,20000.0
We love washing cars :) #dontdrivedirty #quickquack,0.5,Y,N,"dontdrivedirty, quickquack",,10:18:16,Monday,2014-09-29,N,640x640,7,0,700.0
So we like ducks...but Quackals Duck is our favorite!,0.625,N,N,,,20:30:09,Wednesday,2012-09-05,N,612x612,1,0,100.0
Rockin' it out at the 4th of July parade!! #quickquack #dontdrivedirty,-0.390625,Y,N,"quickquack, dontdrivedirty",,16:18:03,Thursday,2013-07-04,N,612x612,8,0,800.0
"It's Lucky Duck Wednesday! We're celebrating St. Patty's Day every Wednesday of this month with this special offer. 20% off vending and accessory items that are the color green. 
http://ow.ly/D5Xy309ttQl",0.19126984126984126,N,N,,,08:34:03,Wednesday,2017-03-01,N,960x960,14,0,1400.0
"Don't drive dirty, your dog deserves a clean car!

Now until 8/26, stop by a Quick Quack in Utah or Colorado to receive a complimentary dog tag and dog treat (while supplies last).

#DontDriveDirty #QuickQuack #CleaningTips #DogHair #CleaningCarTips #QuickQuackOffer",0.09833333333333334,Y,N,"DontDriveDirty, QuickQuack, CleaningTips, DogHair, CleaningCarTips, QuickQuackOffer",,07:03:17,Saturday,2024-08-24,N,612x612,60,7,6700.0
"When your kids get this excited about Quick Quack, an unlimited plan just makes sense 🤷https://shop.dontdrivedirty.com/products/unlimited-membership 📷 by @kaylipendleton.photos",0.35416666666666663,N,Y,,kaylipendleton.photos,09:40:03,Monday,2019-09-16,N,1080x1077,30,3,3300.0
It's #LuckyDuckWednesday!! Add on a Duck Bath or Duck Wax for just $1! Just show this deal to your cashier to cash in on the savings!,0.0,Y,N,LuckyDuckWednesday!!,,09:11:58,Wednesday,2016-02-17,N,959x959,2,0,200.0
"Our social media manager said this will get us a lot of views 🤷

#QuickQuack #QuickQuackCarWash",0.03333333333333333,Y,N,"QuickQuack, QuickQuackCarWash",,14:00:36,Friday,2024-09-06,Y,1080x1920,137,19,15600.0
Good thing we have FREE vacuums! #DontDriveDirty,0.6,Y,N,DontDriveDirty,,09:54:29,Monday,2016-09-19,N,710x710,15,3,1800.0
#dontdrivedirty Keeping the environment clean too! #quickquack,0.45833333333333337,Y,N,"dontdrivedirty, quickquack",,09:46:29,Friday,2014-02-07,N,640x640,3,0,300.0
Spring is officially here. Start your spring cleaning at the car wash. 🚗✨,0.0,N,N,,,07:01:49,Monday,2022-03-21,N,1080x1080,54,2,5600.0
"It's never too early to get your scare on. Stay tuned... Count Quackula's Mobile Haunt is coming soon. 🧛‍♂️ Starting October 1st, visit any Quick Quack location to experience our one-of-a-kind adventure.",0.14444444444444446,N,N,,,08:15:14,Monday,2021-09-20,Y,720x1280,130,8,13800.0
"Shine like the sun, all summer long. Enjoy unlimited shine with unlimited car washes. 🌞",0.17500000000000002,N,N,,,08:00:43,Tuesday,2021-07-27,N,1080x1080,35,0,3500.0
"Beat the summer heat with a wash at Quick Quack! ☀️💦There's no better time than now to sign up for one of our unlimited memberships! To learn more, visit our website: https://bit.ly/2Kh4GRB",0.20138888888888887,N,N,,,09:27:02,Thursday,2019-07-25,N,1080x565,29,0,2900.0
Always a party when #quackals is around! #quickquack,0.0,Y,N,"quackals, quickquack",,12:18:20,Sunday,2013-06-23,N,612x612,5,0,500.0
Fall weather is upon us at our Colorado Springs location!!! Thank goodness for our 48 grand Rain Check Guarantee #dontdrivedirty,0.5,Y,N,dontdrivedirty,,19:09:47,Sunday,2015-10-25,N,1080x1080,2,0,200.0
"""A kind smile and a sincere hello can make my day."" - Jason, Johnson, CEO of Quick Quack Car Wash

https://www.dontdrivedirty.com/2017/06/29/make-someones-day/",0.4333333333333333,N,N,,,08:36:35,Monday,2017-07-31,N,320x365,33,4,3700.0
"Hey Victorville! Join us today starting at 3pm our location on Park Avenue E for our special fundraiser in partnership with @rocknourdisabilitiesfoundation. We are raising funds for Marcus and his family. Marcus has cerebral palsy and autism, and his family fell on hard times due to the pandemic. We will be giving free car washes in exchange for donations. #QQCares",0.0680952380952381,Y,Y,QQCares,rocknourdisabilitiesfoundation.,08:00:58,Monday,2021-02-22,N,1080x1080,100,3,10300.0
"Waterproof cars may not be a thing yet, but our rain repellent can help. Rain repellent is made of hydrophobic molecules which repel water from your car, so you don't need to rely heavily on your windshield wipers for visibility on the road. #dontdrivedirty",-0.6666666666666666,Y,N,dontdrivedirty,,07:07:27,Monday,2021-10-18,N,612x612,70,3,7300.0
"Big news: Say hello to the newest additions to our Flock! ✨

📍Bluffdale - Porter Rockwell Utah
📍Imperial, California 
📍Brownsville - Cameron Park, Texas(Groundbreaking Ceremony)
📍Dixon, California",0.0,N,N,,,17:49:16,Saturday,2024-05-11,Y,1080x1920,60,0,6000.0
"I just can't get enough of it.

#QuickQuack #QuickQuackCarWash #Meme #DontDriveDirty #CarWash",0.0,Y,N,"QuickQuack, QuickQuackCarWash, Meme, DontDriveDirty, CarWash",,11:00:45,Friday,2024-10-11,Y,1080x1920,32,1,3300.0
Hello! Who knew there those rims where supposed to be silver!?! #DontDriveDirty #CarWash,0.0,Y,N,"DontDriveDirty, CarWash",,18:02:35,Thursday,2017-03-30,N,1080x1080,27,1,2800.0
"Honoring Our Heroes! 

In recognition of your service, we’re pleased to offer special discounts and savings for Veterans and Active Military. Make sure to get your offer today. 

Link in the Stories.",0.22476190476190477,N,N,,,10:25:45,Thursday,2023-11-09,Y,1080x1920,40,0,4000.0
"What type of oil does your car need? 
A)  Mineral/regular
B) Semi-synthetic
C) Synthetic
D) Whatever the guy at the shop puts in it... Every vehicle needs a different kind of oil. Check the SAE international ratings to see what your car needs. #AutoFactFriday #DontDriveDirty",0.19999999999999998,Y,N,"AutoFactFriday, DontDriveDirty",,08:54:11,Friday,2016-06-24,N,1080x1080,8,0,800.0
"~~~GIVEAWAY~~~ LIKE & SHARE this post with a friend and you will be entered into a contest for a $50 Quick Quack Car Wash Gift Card. We'll be giving away 3 of them!

#DontDriveDirty #Giveaway #HappyHolidays #Contest",0.41666666666666663,Y,N,"DontDriveDirty, Giveaway, HappyHolidays, Contest",,15:23:54,Thursday,2017-12-14,N,1000x1038,35,67,10200.0
We have the best customers at #Quickquack!,1.0,Y,N,Quickquack!,,15:37:30,Monday,2014-02-10,N,640x640,4,0,400.0
Come try out our Duck Bath! #quickquack #dontdrivedirty,0.0,Y,N,"quickquack, dontdrivedirty",,14:17:48,Monday,2014-08-18,N,640x640,5,1,600.0
"It's Lucky Duck Wednesday! Stop by today and receive $10 OFF a 30 Day Unlimited Pass.

#LuckyDuckWednesday
#DontDriveDirty",0.41666666666666663,Y,N,"LuckyDuckWednesday, DontDriveDirty",,07:30:17,Wednesday,2017-06-21,N,960x960,16,0,1600.0
"Kevin is a police officer and veteran in Gilbert, AZ. Kevin has been fighting a rare form of leukemia; he's been fighting like a champ and getting amazing care from his medical staff, family, friends, and community. Kevin has been out of the hospital and everyone has been hopeful for him. We collected donations from the community in his honor to help him and his family pay for his medical treatment. #QQCares",0.18000000000000002,Y,N,QQCares,,08:30:47,Friday,2021-07-02,N,1080x1080,78,4,8200.0
"Thanks for the review Juli! This is what we strive for. 
We would love to hear about your great experiences on google, yelp or fb.",0.5166666666666667,N,N,,,10:33:03,Thursday,2017-02-16,N,320x282,9,0,900.0
"Throwback Thursday to that time Quackals rode a Mechanical Bull!

#DontDriveDirty #YeeHaw #CowboyQuackals #TBT",0.0,Y,N,"DontDriveDirty, YeeHaw, CowboyQuackals, TBT",,16:19:10,Thursday,2019-04-25,N,1080x762,52,3,5500.0
"Happy National Maple Syrup Day! 
#NationalMapleSyrupDay #MapleSyrupDay",1.0,Y,N,"NationalMapleSyrupDay, MapleSyrupDay",,10:23:22,Sunday,2017-12-17,N,979x1000,20,0,2000.0
Meet Adria!!! Our newest team member!!,0.0,N,N,,,20:44:09,Tuesday,2015-01-27,N,640x640,7,1,800.0
"Suppose your car could have eyes. This is how your car would look at you when you haven't washed it in a week. 👀 
.
.
.
#CarCareRoutine #vehiclemaintenance #cleancargoals #UnlimitedCarWash #CarWashTime",0.0,Y,N,"CarCareRoutine, vehiclemaintenance, cleancargoals, UnlimitedCarWash, CarWashTime",,04:02:34,Saturday,2024-07-06,Y,1080x1920,65,10,7500.0
Everyone is getting into the holiday spirit! Having a little fun at our Folsom location!,0.09375,N,N,,,16:51:10,Monday,2015-12-21,N,1080x1350,1,0,100.0
Fall is in the air… and it’s everywhere! 🍁🍂 Don't forget to take advantage of our free vacuums with every car wash!,0.5,N,N,,,14:00:07,Wednesday,2019-10-02,N,1080x1080,33,1,3400.0
It's National Lazy Day! 😴All the more reason to kick back and let us do the dirty work for you!,-0.140625,N,N,,,10:02:30,Saturday,2019-08-10,N,1080x1080,37,0,3700.0
"There's always that spot in your car you forget about (intentionally or not 😉). When you get a Lucky Duck or a Better Wash, our equipment takes care of it all; including your vehicle's undercarriage. #dontdrivedirty",0.41666666666666663,Y,N,dontdrivedirty,,09:00:44,Wednesday,2021-08-18,N,1080x1080,46,0,4600.0
"Guess the location! 📍

A vibrant and fun masterpiece has just popped up at a local Quick Quack - can you guess where this mural is located? 

Comment your best guesses below. 👇",0.36,N,N,,,09:04:36,Monday,2023-08-21,Y,1080x1920,3,30,3300.0
"Honoring Our Heroes!

In recognition of your service, we're pleased to offer special discounts and savings for Veterans and Active Military. Make sure to get your offer today.

Link in the Stories",0.22476190476190477,N,N,,,16:01:01,Saturday,2023-11-11,N,1440x1800,36,0,3600.0
"The results are in! Congratulations to the winners of our Creative Writing Contest. Our grand prize winner is Kaelin P., a 12th grader from California. Read Kaelin's story, ""The Sweetest Little Duckling"", and our other winners' stories at the link in bio.
Thank you to all the talented writers who submitted their essays, we received hundreds of entries and loved reading your version of the duck's tale. #dontdrivedirty #quickquack",0.34791666666666665,Y,N,"dontdrivedirty, quickquack",,13:32:23,Wednesday,2020-09-30,N,1080x1079,58,0,5800.0
"Our Washes take no longer than 3 minutes - that's a QUICK QUACK promise! Swing by this weekend and check ""car wash"" off your to-do list! ✔️",0.5208333333333333,N,N,,,17:19:01,Wednesday,2019-05-29,N,1080x1080,43,0,4300.0
"FREE CAR WASHES through July 21st at our new location in the Palm Springs Area! Happy Friday!

68279 E. Palm Canyon Rd. Cathedral City, CA 92234! 
come join us in Celebration or pass on the good news to your friends in the area.

https://www.facebook.com/QuickQuackCathedralCity/",0.4540909090909091,N,N,,,07:47:07,Friday,2016-07-15,N,320x341,3,0,300.0
"Quackals is celebrating National Courtesy Month by offering to help a friend clean their car. Today is the last day to vote for the person that you think is the Most Courteous! 
http://ow.ly/vuml304gaGy",0.4041666666666667,N,N,,,16:45:51,Thursday,2016-09-15,N,1000x1000,4,0,400.0
"Quackals is looking sharp! There's only a few days left to enter our tie design contest. Get creative and you could win a $500 gift card or an Apple watch, and the chance to see your tie proudly worn by our Team Members. Enter our contest at the link in bio! Winner will be announced on August 28th. #tiedesign #dontdrivedirty #quickquack",0.27767857142857144,Y,N,"tiedesign, dontdrivedirty, quickquack",,08:01:53,Friday,2020-08-14,N,1080x1080,84,4,8800.0
"Grab your pen and paper, put your fingers to your keyboard, and write the story of Quackals, the duck mascot of Quick Quack Car Wash. Tell us how a sweet duckling became the famous and beloved mascot of the most fun car wash on Earth, for a chance to win a $1,000 scholarship. Enter at the link in bio.
#dontdrivedirty #quickquack",0.4976190476190476,Y,N,"dontdrivedirty, quickquack",,08:00:27,Friday,2020-09-11,N,1080x1080,104,1,10500.0
Best bathroom sign ever. #quickquack #whatsquackalsladyfriendsname,1.0,Y,N,"quickquack, whatsquackalsladyfriendsname",,21:00:43,Saturday,2014-08-23,N,640x640,6,0,600.0
"Experience the fall season like never before. 

Drive on over to your favorite coffee shop, grab a fall drink (any drink really), head to your neighborhood Quick Quack, relax and take in our limited- time Pumpkin Spice scented wash. 

Available at ALL Quick Quack locations.",0.28253968253968254,N,N,,,13:40:33,Friday,2023-10-06,Y,576x1024,120,4,12400.0
This little grumpy guy held up wash traffic yesterday morning before we rescued him out of our wash bay. We warmed him up with a microfiber towel and off he went!,-0.234375,N,N,,,10:41:28,Saturday,2015-07-11,N,1080x1080,3,0,300.0
Happy Valentine's Day! 💕 Who likes to start date night with a car wash? Raise your hand 👋 #valentinesday #dontdrivedirty #quickquack,1.0,Y,N,"valentinesday, dontdrivedirty, quickquack",,08:01:00,Sunday,2021-02-14,N,1080x1080,68,2,7000.0
"Auto Fact Friday: Did you know that whale oil used to be used as transmission fluid in some USA cars? It was banned in 1973 by the Endangered Species Act. 
#AutoFactFriday #DontDriveDirty 
Source: https://en.wikipedia.org/wiki/Whale_oil",0.0,Y,N,"AutoFactFriday, DontDriveDirty",,12:16:35,Friday,2018-01-19,N,370x462,17,1,1800.0
It is officially Spring!,0.0,N,N,,,10:40:03,Monday,2017-03-20,N,1080x1349,17,0,1700.0
"Happy Valentine's Day from Quick Quack Car Wash!
˙
#DontDriveDirty #HappyValentinesDay",0.6083333333333334,Y,N,"DontDriveDirty, HappyValentinesDay",,07:02:58,Thursday,2019-02-14,N,1080x825,26,0,2600.0
Pirate Quackals #quickquack,0.0,Y,N,quickquack,,19:53:13,Monday,2014-03-03,N,640x640,6,0,600.0
Great time at the Bunny Run in TX!!,1.0,N,N,,,19:52:44,Sunday,2016-04-10,N,1080x1080,8,0,800.0
The odyssey of Quackals glasses begins with Homer...,0.0,N,N,,,11:52:35,Friday,2017-06-02,N,1056x1056,18,1,1900.0
"Know someone who can use a Random Quack of Kindness?
If you know someone who could use help during this uncertain time, please nominate them using the link in our bio.

We can help with grocery delivery, restaurant or other business gift card purchases, support to health care workers or anyone else you feel could benefit.",-0.3125,N,N,,,15:01:07,Tuesday,2020-03-31,N,1080x1080,43,5,4800.0
"Thank you for choosing our Fast. Clean. Loved... Everywhere washes to make you and your community shine bright. ✨

#carwashutah  #quickquackcarwash #dontdrivedirty #bestofnorthernutah #bestofsouthernutah",0.4916666666666667,Y,N,"carwashutah, quickquackcarwash, dontdrivedirty, bestofnorthernutah, bestofsouthernutah",,11:08:17,Friday,2024-08-09,Y,1080x1920,48,5,5300.0
"We will be celebrating the 4th of July every Wednesday for the whole month of July! You can purchase a Basic 5 Wash Card at any location for only $17.76 (Reg $30). Unlimited members can buy one Quick Quack Air Freshener and get the second one FREE. 
#LuckyDuckWednesday",0.1638888888888889,Y,N,LuckyDuckWednesday,,08:19:29,Wednesday,2016-07-13,N,960x960,5,0,500.0
"Today is Lucky Penny Day. Quackals is hoping to find one at the car wash today. 
#dontdrivedirty #luckypennyday",0.3333333333333333,Y,N,"dontdrivedirty, luckypennyday",,05:02:19,Wednesday,2018-05-23,N,1080x1213,24,0,2400.0
A galaxy far far away...or your favorite triple foam! #dontdrivedirty #quickquack,0.27499999999999997,Y,N,"dontdrivedirty, quickquack",,12:50:43,Friday,2015-06-19,N,640x640,4,2,600.0
We want to celebrate you on your birthday! Sign up for a FREE Birthday Car Wash here... http://ow.ly/nEqD302Tvt7,0.4,N,N,,,19:25:58,Sunday,2016-08-14,N,320x401,4,0,400.0
"Do you want to see your design worn by our Team Members nationwide? Enter our tie design contest for a chance to win a $500 gift card OR an Apple Watch, and see your very own design come to life! Enter at the link in bio #tiedesign #dontdrivedirty",0.8875000000000001,Y,N,"tiedesign, dontdrivedirty",,07:30:31,Monday,2020-08-10,N,720x720,107,4,11100.0
"Quick Quack team members are gearing up for a spooktacular Halloween! 🎃

We encourage you to join the fun by coming to the wash in your best costumes. Oh, and some of our locations might have a frightful surprise waiting just for you.

Halloween hours:
To spend time with our flock, we will be closing our washes on Halloween (10/31) at 5 p.m.",0.5722222222222222,N,N,,,11:15:35,Sunday,2023-10-29,N,612x612,126,2,12800.0
"You love your pets, but sometimes you hate their mess. With FREE vacuums at most locations you can tackle the tough dirt and hair and spend more money on treats for you and your dog. Swipe to see the before and after!",0.09444444444444444,N,N,,,07:02:18,Saturday,2022-06-11,N,612x612,63,2,6500.0
Nothing like a #duckbath in the morning! #dontdrivedirty #quickquack,0.0,Y,N,"duckbath, dontdrivedirty, quickquack",,09:50:57,Thursday,2014-11-20,N,640x640,4,1,500.0
"We love our TEAM! 
If you're interested in being a part of a growing team of people that care, please let us know. We're always accepting applications. 
http://qoo.ly/r3n5m",0.4375,N,N,,,11:42:43,Saturday,2018-07-28,N,1080x1080,41,6,4700.0
It's National Coffee Day ☕ What is your favorite drink this season?! Comment below and we will randomly pick one winner to get a $15 Starbucks e-gift card!,0.0,N,N,,,09:35:01,Sunday,2019-09-29,N,1080x1080,51,42,9300.0
"In honor of World Smile Day today, we have a special deal running from Oct. 5th-Oct. 11th and we are sure that it will put a smile on your face!
˙
To get this great deal, text SMILEQQ to 555-888.
˙
*ONLINE OFFER ONLY*
˙
#WorldSmileDay #DontDriveDirty",0.3886904761904762,Y,N,"WorldSmileDay, DontDriveDirty",,07:53:14,Friday,2018-10-05,N,1080x1080,21,0,2100.0
"We're ready for you 😱 Quick Quack's Haunted Car Wash starts at 7pm tonight at all of our participating locations. Stop by for some spooky fun for the whole family. Only at participating locations in Amarillo, TX  Katy, TX  La Quinta, CA  Fontana, CA  Springville, UT  Rancho Cordova, CA  Chandler, AZ  Corpus Christi, TX
#HauntedCarWash #QuickQuack #Halloween #spookyseason",0.20666666666666664,Y,N,"HauntedCarWash, QuickQuack, Halloween, spookyseason",,13:30:57,Thursday,2020-10-29,N,1080x1080,147,7,15400.0
"Join us and @makeawishutah as we Drive For Wishes! 

Visit any Quick Quack Car Wash in Utah on Monday, April 29 to donate. And we’ll match each donation, up to $10,000 total, so your generous gift can stretch even further. See you there.",0.1111111111111111,N,Y,,makeawishutah,14:12:44,Friday,2024-04-26,Y,1080x1920,3,2,500.0
Suds lift the dirt from the car! #dontdrivedirty #quickquack,0.0,Y,N,"dontdrivedirty, quickquack",,14:30:57,Saturday,2013-11-16,N,640x640,4,0,400.0
Another store in Utah has opened up! Come check us out in Orem Utah! Such a great event thank you for all who attended. On to the next!! 🏃‍♂️ @lostboysmarketing,0.26666666666666666,N,Y,,lostboysmarketing,09:42:02,Tuesday,2018-04-17,Y,720x405,50,6,5600.0
"Who is Quackals?
Creative Writing Contest
$1,000 Cash Scholarship Grand Prize
http://ow.ly/OJs3304K60a",0.5,N,N,,,07:57:40,Monday,2016-10-03,N,600x600,1,0,100.0
Happy Wednesday! Have you been to the car wash recently? Washing often makes it much easier to maintain a clean car and get rid of stubborn dirt. #dontdrivedirty,0.39166666666666666,Y,N,dontdrivedirty,,07:02:53,Wednesday,2021-10-06,N,1440x1440,75,1,7600.0
"Come Celebrate with us in Cathedral City, CA and get a FREE CAR WASH over the next 8 days! Pass on the good news to your friends in the Palm Springs area!

68279 E. Palm Canyon Rd. Cathedral City, CA 92234

https://www.facebook.com/QuickQuackCathedralCity/",0.425,N,N,,,18:19:25,Thursday,2016-07-14,N,320x400,5,0,500.0
"Christmas is getting close! Our locations will close early on Christmas Eve (Dec. 24) at 4:00 PM for the holiday.
˙
#DontDriveDirty #ChristmasEve #HappyHolidays",0.1,Y,N,"DontDriveDirty, ChristmasEve, HappyHolidays",,07:15:49,Thursday,2018-12-20,N,1080x1080,28,1,2900.0
We hope your week is off to a great start! What are you going to accomplish this week? Wash your car? Finish a project? Work on the house?,1.0,N,N,,,12:11:04,Monday,2017-07-10,N,1000x1000,20,0,2000.0
"There's nothing better than a clean car. Don't Drive Dirty, visit us and get your car Quick Quack clean #dontdrivedirty",0.19333333333333336,Y,N,dontdrivedirty,,07:00:22,Wednesday,2020-02-26,N,1080x717,25,4,2900.0
Come get an annual pass and #dontdrivedirty all year long!! :) #washallyouwant,0.2109375,Y,N,"dontdrivedirty, washallyouwant",,13:11:26,Saturday,2015-01-24,N,640x640,7,4,1100.0
Fantastic #OpeningNight with @sacrepublicfc last night!! Were you there?,0.2,Y,Y,OpeningNight,sacrepublicfc,16:26:20,Sunday,2016-04-03,N,1080x1080,6,0,600.0
Keeping it clean! #hardwork#dontdrivedirty,0.45833333333333337,Y,N,hardwork#dontdrivedirty,,17:42:09,Saturday,2016-02-20,N,720x720,6,1,700.0
"I’d probably say, “I think it’s time to become an unlimited member!” 😅

Become an unlimited member today. Add more cars for $1 for the first month. 🔗 in the bio.

#Quackals #DontDriveDirty #QuickQuackCarWash #QuickQuackoffer",0.375,Y,N,"Quackals, DontDriveDirty, QuickQuackCarWash, QuickQuackoffer",,09:50:35,Thursday,2024-08-15,N,612x612,61,0,6100.0
"Deck your car out for the holidays, inside and out! Grab our limited edition holiday air fresheners available at all locations for just $1. Try our ""candy cane"" scent, or our ""Christmas tree"" scent... or both Supplies are limited, hurry in! #dontdrivesmelly #dontdrivedirty #quickquack #happyholidays #holidayseason #holidayscents #airfreshener #limitededition",0.07976190476190478,Y,N,"dontdrivesmelly, dontdrivedirty, quickquack, happyholidays, holidayseason, holidayscents, airfreshener, limitededition",,07:30:16,Friday,2020-11-20,Y,720x900,94,2,9600.0
"If only we were all this excited about washing our car! 😃
📷 by @rusticecho",0.234375,N,Y,,rusticecho,12:34:02,Thursday,2019-09-05,N,1080x1350,41,2,4300.0
"Hey Utah! 👋

You still have one hour to stop by Quick Quack Car Wash (Sandy South) and donate for a FREE car wash! 
Come preview the new car wash just days before the official Grand Opening and help raise funds in support of the Steiger family. 
They are struggling to pay for medical costs. Their oldest son, Preston, has cleft palate. Joslan, their youngest suffers from cystic fibrosis, and needs medical equipments, medicine, and a home nurse. Their mom, Katrina has medical issues from delivery complications. ** TODAY - Monday, September 30th from now until 6 PM at 11114 South State Street, Sandy, UT 84070. ** #ChangingLivesForTheBetter #DontDriveDirty #QuickQuack",0.10871212121212122,Y,N,"ChangingLivesForTheBetter, DontDriveDirty, QuickQuack",,16:03:16,Monday,2019-09-30,N,612x612,81,3,8400.0
Remembering our heroes today...wishing everyone a safe Memorial Day!,0.625,N,N,,,12:54:45,Monday,2016-05-30,N,373x300,4,0,400.0
Ah! New wax!,0.17045454545454544,N,N,,,14:22:40,Saturday,2015-01-10,N,640x640,3,0,300.0
"Beat the cold and stay healthy with these quick tips to help you and your loved ones stay healthy during the winter. ✨

Check out the full list in our stories.",0.2972222222222222,N,N,,,17:16:05,Tuesday,2024-02-13,Y,1080x1920,83,1,8400.0
Happy National Girlfriends Day!,1.0,N,N,,,10:04:06,Wednesday,2018-08-01,N,1080x1108,24,0,2400.0
"It's #TipTuesday! Here are some Halloween safety tips. Have fun! Be safe!

http://ow.ly/1GWG305wrzA",0.5,Y,N,TipTuesday!,,19:27:06,Tuesday,2016-10-25,N,853x853,9,0,900.0
